observation_date,DP04ACS006001,DP04ACS006003,DP04ACS006005,DP04ACS006007,DP04ACS006009,DP04ACS006011,DP04ACS006013,DP04ACS006015,DP04ACS006017,DP04ACS006019,DP04ACS006021,DP04ACS006023,DP04ACS006025,DP04ACS006027,DP04ACS006029,DP04ACS006031,DP04ACS006033,DP04ACS006035,DP04ACS006037,DP04ACS006039,DP04ACS006041,DP04ACS006043,DP04ACS006045,DP04ACS006047,DP04ACS006049,DP04ACS006051,DP04ACS006053,DP04ACS006055,DP04ACS006057,DP04ACS006059,DP04ACS006061,DP04ACS006063,DP04ACS006065,DP04ACS006067,DP04ACS006069,DP04ACS006071,DP04ACS006073,DP04ACS006075,DP04ACS006077,DP04ACS006079,DP04ACS006081,DP04ACS006083,DP04ACS006085,DP04ACS006087,DP04ACS006089,DP04ACS006091,DP04ACS006093,DP04ACS006095,DP04ACS006097,DP04ACS006099,DP04ACS006101,DP04ACS006103,DP04ACS006105,DP04ACS006107,DP04ACS006109,DP04ACS006111,DP04ACS006113,DP04ACS006115
2010-01-01,46.9074434,36.4640884,42.0181969,45.3718849,42.2062218,38.3857974,47.8250414,42.3750398,44.7980525,45.1434530,41.6576616,45.5187001,45.3771980,39.0921228,43.7929292,38.6645922,49.3302923,40.9150591,51.4301504,46.8763186,46.4857576,35.2965180,45.8718636,47.3234195,32.4006276,49.4790643,48.4521953,45.5398866,48.8957816,47.6960237,44.2185215,37.5462773,50.8499321,47.0769336,52.9643055,48.6132025,49.7663481,42.6541961,49.2196142,48.2997716,43.9336421,48.5615224,43.0828836,50.9591564,44.9437530,31.5827863,43.7642902,48.3242538,48.3378853,49.0293296,42.7532910,41.4512572,31.9317382,42.8249694,46.2474551,47.1562647,46.1633864,45.0117867
2011-01-01,46.3714679,35.4166667,41.6428979,46.0260326,42.7593009,38.6457717,47.4150559,43.4132372,44.8465612,45.3869430,39.9280967,45.5479917,45.2759629,38.5482541,43.7829700,40.2752270,49.3085321,39.7743590,51.9185144,46.1805123,46.4112743,38.2336807,46.5235764,46.7928422,35.5855856,50.1814016,48.8177728,45.7804255,49.3205515,47.7271881,44.5183681,39.1256226,50.7299957,46.8141434,53.0141191,48.7341241,49.7312767,42.9863908,48.8498120,48.0227875,43.8732397,48.2242446,42.4634273,50.2010797,45.2555182,30.4209690,44.1095890,46.8697915,47.8288032,48.7195152,42.4926686,41.8823221,34.8246896,43.7568412,45.6592236,47.2907048,46.3879781,44.8866609
2012-01-01,45.3709060,34.7222222,42.8632846,45.1869318,44.3269284,36.6022933,46.3278439,43.5599189,43.6472505,45.9704015,40.9993454,46.7884376,44.5354303,36.9425883,43.3451957,40.6623333,50.7703275,38.4725488,52.1231000,46.2652841,45.7479660,35.6596972,47.3193899,45.3366492,32.8390402,50.9433962,48.3220265,44.4768168,48.4464391,47.4627660,44.1593153,40.3916628,50.0550971,46.2678887,52.4425200,48.5821717,49.4981511,43.3430831,47.6674356,47.3199602,43.8772761,47.4543680,41.8084568,49.3242724,44.7838452,34.2105263,43.3038568,45.7140574,47.4553348,48.0593735,42.3454575,40.7307828,38.1617114,43.7023706,45.0455501,46.9202039,46.2612923,44.6155837
2013-01-01,44.0830086,36.3395225,41.8507891,44.3858171,43.3399712,35.9160248,44.2804728,43.6159897,43.0894924,45.2472257,39.5159540,45.7547814,43.3005724,34.3192040,41.8098779,40.3621120,50.5736362,37.0892505,51.8096078,45.6538509,44.6948682,37.1841155,46.3062841,43.6492970,33.6886994,45.6320658,48.2196247,43.9980930,47.5133818,46.7059308,43.0271299,41.9365955,48.5381773,45.2936124,49.7557740,47.5766435,48.6152343,43.0140220,46.2096843,46.7015877,43.3088726,46.5757103,40.8831320,49.0837955,43.8698092,35.8885017,43.3692142,45.0434657,46.2457546,46.5651878,41.7869684,39.2552435,39.6009787,43.9889441,43.6390047,45.8066776,45.0818470,45.7685221
2014-01-01,43.1141674,42.4157303,40.9621741,43.6192379,42.2884466,36.4518054,42.9877861,40.5488813,42.0194591,44.8197593,38.3455360,45.6840009,42.9962249,35.6536960,40.5842116,39.0725611,48.9702694,34.9868352,51.3750393,43.6854963,44.0533307,35.4953671,46.5443101,43.0012972,32.0683112,41.0936205,47.7180906,43.7749509,45.5926670,46.1100509,41.4057217,42.7151515,47.1813062,43.8744334,47.1158449,46.6086662,47.3919034,42.0828679,44.8351461,45.6804123,42.0395549,45.9159116,39.9914124,48.7229991,43.4174966,37.1033360,42.4422371,42.9209728,45.4149096,45.1284006,40.2120877,39.2575180,38.9705882,43.0658589,41.7383580,44.4736712,44.7089639,43.8074749
2015-01-01,41.7445877,42.2155689,39.2933857,42.7678995,41.0830946,33.8292175,41.4881444,38.6451542,39.7553846,44.0677729,39.4539850,45.0477666,42.4545759,33.5416944,39.4619922,38.8453742,46.9879053,33.5738540,50.4994262,41.5608792,42.1290361,33.4239519,44.7888978,42.6758379,36.7152466,42.0168067,46.2658171,42.2667111,43.2125053,44.9164842,39.9817658,38.9582813,45.5428432,42.2675368,43.3058244,45.5512902,46.3517385,40.5478723,43.3358609,44.5350994,41.1857068,45.2587634,38.8716714,47.3646677,41.9114697,34.0833333,41.0629340,41.8349695,43.6956819,43.5426652,40.2245301,40.0465096,40.1717744,42.7103669,40.8956762,43.6593003,43.2223406,42.7844225
2016-01-01,40.4505795,39.7515528,36.8023046,41.9318965,40.6717290,31.7283400,39.9081086,38.0195599,38.3032243,43.3496755,38.3458647,45.2356488,41.0314562,31.1900066,38.9197248,37.7125270,46.1344739,31.5417256,49.5261406,41.1617085,40.9325158,34.0167485,44.1961308,40.5739354,34.1400911,35.9676007,45.3392455,39.9808922,41.1827276,44.1764626,37.7841355,36.6898572,44.1731057,40.8148010,41.8804425,44.5693901,45.4096748,38.8342384,41.8104171,42.3451934,40.0215522,44.6401033,38.0307416,45.6992962,41.5083197,31.7500000,39.2582840,40.5938506,42.1829789,41.8957444,38.0744404,40.2372583,41.9767442,41.9408635,41.3682321,42.7380646,41.2159637,42.4106783
2017-01-01,39.3616505,43.3898305,33.8072898,41.7071736,41.2544324,33.2108203,38.6292965,37.3738482,37.7344517,41.4494827,35.4952077,44.3012999,39.3397746,32.6440369,38.5990709,36.4103447,42.6797911,29.4794521,48.6341488,40.0042440,40.3725679,33.4458509,42.8158445,39.5217835,34.4418739,34.9130435,44.4481573,39.5749833,41.2195807,43.4242090,36.8656926,36.2056213,43.2326005,40.0599587,38.9679611,43.2344100,44.5053255,36.9553171,40.9593330,40.9693357,38.6066882,43.7287701,37.2708801,45.1061543,41.4982981,35.0000000,38.1025249,39.5051206,41.3187027,40.2993432,37.2110103,41.4411278,41.3487476,41.8543229,37.5524671,41.8553772,39.5863216,40.2737321
2018-01-01,38.4646301,37.0242215,34.6487077,41.5754454,40.3756147,32.1840760,38.0472308,36.2524356,36.4693493,40.6393608,33.6717605,44.4638639,39.4503651,33.9558574,38.6035676,35.5552311,41.1102989,27.7795856,47.9918660,37.4032634,39.8925662,33.3197445,43.2392365,39.0562527,28.8517023,33.1535807,43.4958191,38.6006634,40.6975575,42.9382203,36.3807303,33.6788228,42.5640005,39.2888101,39.1481780,42.5643138,44.1858695,35.2350597,40.2614997,40.7470455,37.9016399,43.3325785,36.7007081,44.0453605,39.4841704,35.4892206,35.7551241,38.4212221,40.5138917,39.3521256,36.1463446,41.0971963,37.5296047,41.1819823,37.3623310,41.7919330,39.0443763,38.5997959
2019-01-01,37.9430068,29.1545190,34.2977825,39.9105639,40.3618481,30.9994189,37.3174980,35.8774608,35.3883222,40.0535847,33.5926963,43.8467994,39.3231881,31.2060502,39.1218482,34.9920088,37.9734383,27.7548747,47.3482390,36.2938037,39.9197154,36.1377985,41.4287029,37.1518124,28.6844418,30.9674601,43.3398321,37.5905436,41.5059572,42.1561405,35.3392737,30.0358157,41.8966562,38.8261199,38.9961173,41.5608486,43.5830265,33.9042398,39.4974685,40.4108860,37.0406077,42.4526976,35.8889188,42.5591129,37.5490536,31.2888199,34.4827586,37.7533859,39.8221804,38.7794621,36.5677069,40.0051686,35.7534005,40.9508362,37.4473014,41.2062232,37.6580724,37.5004879
