observation_date,B14005DCYACS006001,B14005DCYACS006003,B14005DCYACS006005,B14005DCYACS006007,B14005DCYACS006009,B14005DCYACS006011,B14005DCYACS006013,B14005DCYACS006015,B14005DCYACS006017,B14005DCYACS006019,B14005DCYACS006021,B14005DCYACS006023,B14005DCYACS006025,B14005DCYACS006027,B14005DCYACS006029,B14005DCYACS006031,B14005DCYACS006033,B14005DCYACS006035,B14005DCYACS006037,B14005DCYACS006039,B14005DCYACS006041,B14005DCYACS006043,B14005DCYACS006045,B14005DCYACS006047,B14005DCYACS006049,B14005DCYACS006051,B14005DCYACS006053,B14005DCYACS006055,B14005DCYACS006057,B14005DCYACS006059,B14005DCYACS006061,B14005DCYACS006063,B14005DCYACS006065,B14005DCYACS006067,B14005DCYACS006069,B14005DCYACS006071,B14005DCYACS006073,B14005DCYACS006075,B14005DCYACS006077,B14005DCYACS006079,B14005DCYACS006081,B14005DCYACS006083,B14005DCYACS006085,B14005DCYACS006087,B14005DCYACS006089,B14005DCYACS006091,B14005DCYACS006093,B14005DCYACS006095,B14005DCYACS006097,B14005DCYACS006099,B14005DCYACS006101,B14005DCYACS006103,B14005DCYACS006105,B14005DCYACS006107,B14005DCYACS006109,B14005DCYACS006111,B14005DCYACS006113,B14005DCYACS006115
2010-01-01,6.9380249,0.0000000,12.4248497,5.4689497,11.0876897,5.6359482,6.5840007,10.0701083,3.6214723,10.1098081,6.3234471,6.9494803,9.0322040,12.8848347,12.5458876,11.8921892,17.1820210,20.9657702,8.5287319,14.7571999,4.3924012,15.3945666,8.0425532,11.3621931,0.8287293,6.9974555,9.2487746,6.9254287,6.4097523,5.7335715,5.6237495,6.0251799,9.7892160,8.1945410,9.7071130,10.5878643,6.6271406,5.3849138,9.5039097,3.5048664,5.7599105,5.3551332,6.0322512,5.0225855,8.8613671,9.8765432,6.4049587,8.2540315,6.2765801,10.4006391,10.0861212,16.6320706,6.9659443,11.8181220,3.1612645,5.8705314,3.6965812,15.7004831
2011-01-01,7.1352172,0.0000000,13.8045541,6.1233737,14.7837043,3.9768619,7.5274782,11.3387978,3.6718359,9.6692073,5.7703405,6.3003316,7.3675286,13.4095634,12.6541093,10.7550011,14.2416769,24.0956072,8.4497249,13.2893025,4.5217566,2.0631068,8.7016258,12.6837463,2.9925187,6.3862928,9.9252365,7.5721472,7.3913939,5.9759469,5.3344714,11.1111111,10.0184853,7.8283715,12.3798756,10.6817897,6.9064820,4.8821190,9.8393185,4.7961631,5.3057053,5.6375839,5.7948786,4.8545766,9.4235143,52.2613065,6.4935065,7.3363156,6.4146621,11.4883584,10.7293246,17.5824176,13.7111517,12.7738897,4.6093750,5.8851989,4.6726243,16.6297609
2012-01-01,6.8355688,0.0000000,14.6516393,6.9338893,18.1618294,3.3837293,7.3993358,8.3155650,5.3776435,9.5993050,6.9679849,7.1965496,7.6277587,7.5471698,12.6587203,11.4576565,16.8471338,22.0963173,8.5855113,12.0680656,3.9086687,0.3012048,10.1579071,12.1881497,4.4117647,2.7597403,10.7485903,6.7126559,7.3934837,5.9940121,5.5919845,6.7331671,10.3951165,7.9179206,12.0694406,10.3973269,6.8901477,4.9136421,10.1365490,4.6855146,4.3868824,5.4398653,5.6172955,5.2305755,8.3897293,47.5000000,8.6469534,7.4698795,6.6252664,11.4289941,9.6231494,18.8735445,13.2231405,11.6817887,7.6526225,5.6291325,3.9884497,13.1665569
2013-01-01,6.7028599,0.0000000,13.0603210,7.0379567,17.8408051,11.7519827,7.7851654,8.0536913,5.3691275,9.5022624,9.9686520,7.3419612,7.4874633,8.9940828,12.6923903,11.1897540,20.9937888,22.6984127,8.4026215,9.6675462,4.7525309,0.2378121,12.5899281,11.2704918,7.0796460,2.6562500,10.1862768,3.9882620,6.7368421,6.3399002,5.6884971,3.7688442,10.6079923,8.6098132,13.4357542,10.6372282,6.9856863,4.8977061,10.3535796,4.3876953,4.4799801,4.8239937,5.5483600,4.3553098,7.9762757,53.5211268,9.6834264,8.5303056,5.9811242,11.9247178,11.3164778,13.4779028,16.1793372,11.4422950,8.9951378,5.4298460,4.7060284,13.3077108
2014-01-01,6.3490461,23.7500000,18.0975911,6.8480300,14.5737855,9.9781500,6.8550843,11.0545455,6.5719361,9.7714192,8.4649400,9.0410276,9.0538625,7.9310345,11.6852088,10.7586848,20.6007183,23.7421384,8.2327888,10.1127214,4.8223591,0.3694581,15.4206703,10.7266983,16.4473684,0.9370817,9.6396251,3.7707596,7.2925764,6.1550300,6.1804631,9.6428571,10.1181244,8.3427785,10.8160984,10.8456415,6.8076658,5.0990354,9.7801094,4.0194489,4.6169080,4.8291162,5.0214100,4.2459134,9.4096526,50.8928571,11.1327175,9.2347138,6.0407143,10.8961900,12.4292754,10.0917431,17.8445230,11.3940165,8.9912281,5.4704550,3.6874070,8.9874031
2015-01-01,5.9773622,29.2682927,18.0722892,6.3032368,12.5242718,10.9166667,6.4217922,11.7900172,7.6146403,9.6699194,8.8547816,9.9390708,10.2360069,6.3321386,11.0805333,8.3195070,14.1578249,20.7095710,7.8177840,8.4289544,3.7285608,0.5121639,13.9108221,9.1440723,18.3235867,0.5847953,8.3717731,3.8502962,9.3722564,5.9047697,5.5788591,10.1827676,9.8701462,8.4653549,9.4419391,10.8961100,6.7081041,4.9305366,8.4664681,3.9751487,4.1365337,4.3278377,4.7414553,4.0012296,9.2224840,57.1428571,8.1516096,8.6884807,4.8959121,10.5422533,12.4951868,7.8562728,17.7877429,10.7030110,10.7531563,5.6753190,3.4121201,4.4180523
2016-01-01,5.4687905,31.2500000,18.5234899,6.5145849,11.1779449,11.3402062,6.2653022,7.2667217,7.4583557,9.7417025,10.1241019,8.1389321,10.2243707,6.8965517,10.5681840,7.6998289,13.0330124,15.8808933,7.4468392,8.6760996,4.4760745,2.4793388,12.1395349,6.5680917,15.7549234,1.6513761,7.8782453,3.5386278,7.4795309,5.1400964,6.2100312,10.1036269,9.3626872,8.6020386,6.0606061,10.8898115,6.5077837,4.5544476,8.3872443,3.2743363,4.0229704,4.1875098,4.4378763,4.0503778,6.9984987,0.0000000,11.9714722,8.9382940,4.2882765,9.5720865,10.4266310,5.9237912,26.3081395,10.5275585,11.1727079,5.5014938,3.2196745,4.9261084
2017-01-01,5.0477114,35.7798165,17.5137783,5.6285322,6.2434964,9.8256735,6.0150508,15.3574581,6.4135843,10.0812922,11.3746959,8.4368869,9.6162867,6.3882064,10.5203104,7.9321793,12.5337838,15.6912638,7.1194031,7.6516033,5.6890256,3.4810127,11.4731840,6.8388895,15.1724138,3.0549898,6.5001419,3.6873747,9.7740998,4.8364508,6.4167692,1.8494055,8.9413987,8.6980046,5.9121622,10.6349366,5.8983247,4.2842299,8.4207645,3.1291748,4.0227537,3.7265918,4.0563738,3.1696203,7.3442550,0.9259259,8.0669711,8.2619113,4.2064452,8.2579848,10.9189819,4.0438657,29.5640327,11.1971351,7.8565329,5.7276043,3.1715990,5.0601751
2018-01-01,4.9572356,42.3076923,16.7793485,5.6470588,5.4765666,4.0355125,5.2357867,18.1901280,5.9029679,9.8060096,9.9208764,8.4277904,9.1114671,6.2945368,9.9149221,7.9404762,6.1714708,19.1865606,6.9648548,7.8687822,5.0609008,4.3087971,10.7174688,7.4144688,17.8217822,4.2857143,6.6049507,4.4167457,9.9630143,4.1668407,5.6502860,1.6336056,8.3180389,8.1083986,4.3776824,10.1205803,5.3396868,3.3650213,8.3052161,3.0977047,3.9761431,4.3403858,3.5837759,2.9104138,8.2383359,0.7874016,9.7981290,7.2546561,4.8963278,7.7197838,8.0092414,1.4677728,31.3178295,11.1927413,8.2493126,5.5484208,2.7648216,5.0950370
2019-01-01,4.5439425,7.5000000,15.2641879,5.8448459,1.8547960,5.5600322,4.8231120,19.3284193,3.5762635,9.2303876,11.6686820,8.5706462,6.4856290,3.8119441,9.7983942,8.2011228,7.1086808,19.4548872,6.7380182,6.2077242,5.9318996,7.0559611,7.8389831,8.3178906,7.9545455,0.7385524,5.9934025,4.5091401,10.9401298,3.9863599,5.5953189,0.0000000,8.2821956,8.1936885,6.3408959,9.9069708,5.0888029,2.7764613,8.1926061,3.4218564,4.1785901,4.0801210,3.3208473,2.4368049,8.0000000,1.2820513,8.6869695,7.2749928,5.0434565,7.5189431,8.4175084,4.2046936,30.8394161,10.1651031,11.5702479,5.7749216,3.4868895,6.3778900
