"GEO_ID","NAME","B25064_001E","B25064_001M",
"Geography","Geographic Area Name","Estimate!!Median gross rent","Margin of Error!!Median gross rent",
"0500000US06001","Alameda County, California","2229","15",
"0500000US06003","Alpine County, California","-","**",
"0500000US06005","Amador County, California","1257","93",
"0500000US06007","Butte County, California","1280","32",
"0500000US06009","Calaveras County, California","1621","110",
"0500000US06011","Colusa County, California","1061","73",
"0500000US06013","Contra Costa County, California","2234","21",
"0500000US06015","Del Norte County, California","1146","69",
"0500000US06017","El Dorado County, California","1597","57",
"0500000US06019","Fresno County, California","1207","14",
"0500000US06021","Glenn County, California","978","78",
"0500000US06023","Humboldt County, California","1191","30",
"0500000US06025","Imperial County, California","961","30",
"0500000US06027","Inyo County, California","1131","82",
"0500000US06029","Kern County, California","1161","13",
"0500000US06031","Kings County, California","1201","31",
"0500000US06033","Lake County, California","1206","78",
"0500000US06035","Lassen County, California","1038","67",
"0500000US06037","Los Angeles County, California","1805","5",
"0500000US06039","Madera County, California","1185","46",
"0500000US06041","Marin County, California","2487","66",
"0500000US06043","Mariposa County, California","1134","70",
"0500000US06045","Mendocino County, California","1240","49",
"0500000US06047","Merced County, California","1200","22",
"0500000US06049","Modoc County, California","796","58",
"0500000US06051","Mono County, California","1259","312",
"0500000US06053","Monterey County, California","1873","26",
"0500000US06055","Napa County, California","2037","58",
"0500000US06057","Nevada County, California","1487","80",
"0500000US06059","Orange County, California","2248","9",
"0500000US06061","Placer County, California","1874","40",
"0500000US06063","Plumas County, California","1102","128",
"0500000US06065","Riverside County, California","1711","16",
"0500000US06067","Sacramento County, California","1599","13",
"0500000US06069","San Benito County, California","1830","73",
"0500000US06071","San Bernardino County, California","1584","13",
"0500000US06073","San Diego County, California","2011","13",
"0500000US06075","San Francisco County, California","2316","33",
"0500000US06077","San Joaquin County, California","1542","24",
"0500000US06079","San Luis Obispo County, California","1800","28",
"0500000US06081","San Mateo County, California","2805","33",
"0500000US06083","Santa Barbara County, California","1964","31",
"0500000US06085","Santa Clara County, California","2719","19",
"0500000US06087","Santa Cruz County, California","2094","62",
"0500000US06089","Shasta County, California","1232","33",
"0500000US06091","Sierra County, California","1184","277",
"0500000US06093","Siskiyou County, California","984","38",
"0500000US06095","Solano County, California","1981","35",
"0500000US06097","Sonoma County, California","2029","37",
"0500000US06099","Stanislaus County, California","1433","20",
"0500000US06101","Sutter County, California","1289","44",
"0500000US06103","Tehama County, California","1119","54",
"0500000US06105","Trinity County, California","928","84",
"0500000US06107","Tulare County, California","1137","17",
"0500000US06109","Tuolumne County, California","1129","69",
"0500000US06111","Ventura County, California","2140","25",
"0500000US06113","Yolo County, California","1655","34",
"0500000US06115","Yuba County, California","1137","48",
