county,state,county_fips,fred_series_id,series_title,source_url
Alameda County,CA,06001,DP04ACS006001,"Burdened Households (5-year estimate) in Alameda County, CA",https://fredaccount.stlouisfed.org/public/datalist/10679
Alpine County,CA,06003,DP04ACS006003,"Burdened Households (5-year estimate) in Alpine County, CA",https://fredaccount.stlouisfed.org/public/datalist/10679
Amador County,CA,06005,DP04ACS006005,"Burdened Households (5-year estimate) in Amador County, CA",https://fredaccount.stlouisfed.org/public/datalist/10679
Butte County,CA,06007,DP04ACS006007,"Burdened Households (5-year estimate) in Butte County, CA",https://fredaccount.stlouisfed.org/public/datalist/10679
Calaveras County,CA,06009,DP04ACS006009,"Burdened Households (5-year estimate) in Calaveras County, CA",https://fredaccount.stlouisfed.org/public/datalist/10679
Colusa County,CA,06011,DP04ACS006011,"Burdened Households (5-year estimate) in Colusa County, CA",https://fredaccount.stlouisfed.org/public/datalist/10679
Contra Costa County,CA,06013,DP04ACS006013,"Burdened Households (5-year estimate) in Contra Costa County, CA",https://fredaccount.stlouisfed.org/public/datalist/10679
Del Norte County,CA,06015,DP04ACS006015,"Burdened Households (5-year estimate) in Del Norte County, CA",https://fredaccount.stlouisfed.org/public/datalist/10679
El Dorado County,CA,06017,DP04ACS006017,"Burdened Households (5-year estimate) in El Dorado County, CA",https://fredaccount.stlouisfed.org/public/datalist/10679
Fresno County,CA,06019,DP04ACS006019,"Burdened Households (5-year estimate) in Fresno County, CA",https://fredaccount.stlouisfed.org/public/datalist/10679
Glenn County,CA,06021,DP04ACS006021,"Burdened Households (5-year estimate) in Glenn County, CA",https://fredaccount.stlouisfed.org/public/datalist/10679
Humboldt County,CA,06023,DP04ACS006023,"Burdened Households (5-year estimate) in Humboldt County, CA",https://fredaccount.stlouisfed.org/public/datalist/10679
Imperial County,CA,06025,DP04ACS006025,"Burdened Households (5-year estimate) in Imperial County, CA",https://fredaccount.stlouisfed.org/public/datalist/10679
Inyo County,CA,06027,DP04ACS006027,"Burdened Households (5-year estimate) in Inyo County, CA",https://fredaccount.stlouisfed.org/public/datalist/10679
