"GEO_ID","NAME","B25064_001E","B25064_001M",
"Geography","Geographic Area Name","Estimate!!Median gross rent","Margin of Error!!Median gross rent",
"0500000US06001","Alameda County, California","1904","16",
"0500000US06003","Alpine County, California","639","405",
"0500000US06005","Amador County, California","1057","70",
"0500000US06007","Butte County, California","1087","23",
"0500000US06009","Calaveras County, California","1354","92",
"0500000US06011","Colusa County, California","918","80",
"0500000US06013","Contra Costa County, California","1928","19",
"0500000US06015","Del Norte County, California","946","44",
"0500000US06017","El Dorado County, California","1320","40",
"0500000US06019","Fresno County, California","1029","12",
"0500000US06021","Glenn County, California","810","57",
"0500000US06023","Humboldt County, California","1002","30",
"0500000US06025","Imperial County, California","847","30",
"0500000US06027","Inyo County, California","938","43",
"0500000US06029","Kern County, California","994","10",
"0500000US06031","Kings County, California","1030","33",
"0500000US06033","Lake County, California","1028","74",
"0500000US06035","Lassen County, California","928","59",
"0500000US06037","Los Angeles County, California","1534","5",
"0500000US06039","Madera County, California","1068","34",
"0500000US06041","Marin County, California","2170","47",
"0500000US06043","Mariposa County, California","1010","105",
"0500000US06045","Mendocino County, California","1134","28",
"0500000US06047","Merced County, California","1054","19",
"0500000US06049","Modoc County, California","757","55",
"0500000US06051","Mono County, California","1248","128",
"0500000US06053","Monterey County, California","1600","22",
"0500000US06055","Napa County, California","1775","48",
"0500000US06057","Nevada County, California","1315","75",
"0500000US06059","Orange County, California","1928","9",
"0500000US06061","Placer County, California","1616","27",
"0500000US06063","Plumas County, California","944","54",
"0500000US06065","Riverside County, California","1447","11",
"0500000US06067","Sacramento County, California","1333","11",
"0500000US06069","San Benito County, California","1533","70",
"0500000US06071","San Bernardino County, California","1338","13",
"0500000US06073","San Diego County, California","1732","8",
"0500000US06075","San Francisco County, California","2010","32",
"0500000US06077","San Joaquin County, California","1286","19",
"0500000US06079","San Luis Obispo County, California","1535","31",
"0500000US06081","San Mateo County, California","2435","25",
"0500000US06083","Santa Barbara County, California","1697","25",
"0500000US06085","Santa Clara County, California","2386","15",
"0500000US06087","Santa Cruz County, California","1843","36",
"0500000US06089","Shasta County, California","1075","25",
"0500000US06091","Sierra County, California","1032","170",
"0500000US06093","Siskiyou County, California","878","26",
"0500000US06095","Solano County, California","1684","25",
"0500000US06097","Sonoma County, California","1743","26",
"0500000US06099","Stanislaus County, California","1210","13",
"0500000US06101","Sutter County, California","1095","30",
"0500000US06103","Tehama County, California","972","49",
"0500000US06105","Trinity County, California","813","80",
"0500000US06107","Tulare County, California","974","19",
"0500000US06109","Tuolumne County, California","1025","83",
"0500000US06111","Ventura County, California","1854","21",
"0500000US06113","Yolo County, California","1369","30",
"0500000US06115","Yuba County, California","1015","49",
